id,name,address,latitude,longitude,kickboard,bicycle
1,산수1동 제3주차장,광주광역시 동구 경양로 309-6,35.1545732,126.9235121,5,2
2,산수도서관 주변,광주광역시 동구 경양로 355,35.1543981,126.9284698,5,2
3,계림동 공영주차장,광주광역시 동구 경양로235번길 4,35.1577317,126.91694,5,2
4,계림동 (거주자 우선),광주광역시 동구 경양로277번길 23-2,35.1572303,126.9199529,5,2
5,너릿재유아숲,광주광역시 동구 남문로 48-8,35.0803663,126.953602,5,2
6,지원1동주민센터 뒤,광주광역시 동구 남문로 606-5,35.1249299,126.9323535,5,2
7,지체장애인협회 앞,광주광역시 동구 남문로 638-7,35.1280359,126.9312005,5,2
8,내남동 공영주차장1,광주광역시 동구 내남동 산 322-9,35.094541,126.9388893,5,2
9,내남동 공영주차장2,광주광역시 동구 내남동 산 322-9,35.094541,126.9388893,5,2
10,녹동 주차장,광주광역시 동구 녹동길 80,35.1060204,126.9338693,5,2
11,계림동 푸른길 옆,광주광역시 동구 독립로376번길 16,35.1636937,126.9165734,5,2
12,힐링가든 계림동 제1주차장,광주광역시 동구 독립로384번길 13,35.1645029,126.9168491,5,2
13,동명동 제2공영주차장,광주광역시 동구 동계로10번길 11-1,35.1525709,126.9254109,5,2
14,동명동 공영주차장,광주광역시 동구 동계로15번길 18,35.1540042,126.9229818,5,2
15,동명동 제3공영주차장,광주광역시 동구 동계천로 171-4,35.1493116,126.9280657,5,2
16,화원한정식 앞(전여고 뒤편),광주광역시 동구 동계천로95번길 3,35.1518069,126.9214941,5,2
17,가족회관 앞,광주광역시 동구 동명로 50,35.1512104,126.9259874,5,2
18,힐링가든 지산동 제1주차장,광주광역시 동구 동명로 81-14,35.1513279,126.9297853,5,2
19,동명동(푸른길),광주광역시 동구 동명로20번길 43-5,35.1502008,126.9281133,5,2
20,동산경로당 주변,광주광역시 동구 동산길7번길 22,35.1310725,126.9480744,5,2
21,힐링가든 계림동 제2주차장,광주광역시 동구 무등로321번길 12-1,35.1629723,126.9186564,5,2
22,계림2동(푸른길 옆),광주광역시 동구 무등로384번길 7,35.1596363,126.9251456,5,2
23,산수1동주민센터 소규모주차장,광주광역시 동구 무등로449번길 5-42,35.1578496,126.9299117,5,2
24,삼성아파트 앞,광주광역시 동구 밤실로 38,35.1507782,126.9374848,5,2
25,서석동 KT뒤쪽 담장(삼미관 앞),광주광역시 동구 백서로 189번길,35.1454836,126.9241842,5,2
26,서석교회 옆,광주광역시 동구 백서로 226-1,35.1479071,126.926934,5,2
27,"서남동 제1,2주차장",광주광역시 동구 백서로153번길 12-9,35.1442133,126.9222713,5,2
28,서남동 제3주차장,광주광역시 동구 백서로174번길 7,35.1436063,126.9248681,5,2
29,서석동 드림원룸주차장,광주광역시 동구 서남로 15-1,35.1451975,126.9235709,5,2
30,서남동 공영 제4주차장,광주광역시 동구 서석동 백서로189번길 13,35.145397,126.9235024,5,2
31,성촌마을,광주광역시 동구 성촌길5번길 25-2,35.1364105,126.9529699,5,2
32,그린빌라 앞,광주광역시 동구 소태길 22-3,35.1203462,126.9352065,5,2
33,소태동 지원3구역,광주광역시 동구 소태길 35-10,35.1211487,126.9363677,5,2
34,증심사 이주단지 공영주차장,광주광역시 동구 운림동 증심사길30번길 45,35.1326382,126.9587271,5,2
35,증심사지구 주차장,광주광역시 동구 의재로 216,35.133578,126.9509488,5,2
36,성촌부락,광주광역시 동구 의재로 231,35.1326573,126.9370045,5,2
37,학운동주민센터 앞,광주광역시 동구 의재로 53,35.1324965,126.9336208,5,2
38,소태동 지원 4구역 제1주차장,광주광역시 동구 의재로88번길 20,35.1503631,126.9262326,5,2
39,중앙도서관 공영주차장,광주광역시 동구 장동로 23-16,35.1485032,126.9253348,5,2
40,대인동 광주우체국 옆,광주광역시 동구 제봉로213번길 8,35.1541241,126.913592,5,2
41,서석동 KT 앞,광주광역시 동구 제봉로82번길 16,35.1462949,126.9238187,5,2
42,광산교회 앞,광주광역시 동구 제봉로98번길 11-3,35.1476386,126.922877,5,2
43,이마트 옆 일방로,광주광역시 동구 중앙로 358,35.1637254,126.9203247,5,2
44,계림구시청뒷길,광주광역시 동구 중흥로213번길 366,35.160786,126.9181807,5,2
45,학운동 주차장,광주광역시 동구 증심천로33번길 2-1,35.1306159,126.9333755,5,2
46,힐링가든 지산동 제2주차장,광주광역시 동구 지산로85번길 12,35.151531,126.9319656,5,2
47,지산2동주민센터 소규모주차장,광주광역시 동구 지호로 51,35.1479133,126.9344711,5,2
48,단사공원 주변,광주광역시 동구 지호로 98번길,35.1466397,126.9387909,5,2
49,지산유원지 공영주차장,광주광역시 동구 지호로124번길 10,35.1486152,126.9424701,5,2
50,지산동 사회복지관 앞,광주광역시 동구 지호로164번길 14-10 무등산관광호텔,35.1487548,126.9469047,5,2
51,지산동 회전교차로 부근,광주광역시 동구 지호로70번길 9,35.1471572,126.9372641,6,3
52,풍향어린이공원 옆,광주광역시 동구 참판로 20번길 1,35.1611517,126.9281156,6,3
53,영천교회주변,광주광역시 동구 참판로 25-1,35.1615577,126.9280565,6,3
54,소태동 공영주차장,광주광역시 동구 천변좌로 608,35.1286722,126.9281365,6,3
55,칠전주차장,광주광역시 동구 칠전길 68,35.1048477,126.9276412,6,3
56,두암타운 옹벽,광주광역시 동구 필문대로 137번길,35.1588443,126.9322341,6,3
57,조선대학교 치대,광주광역시 동구 필문대로 303,35.1441857,126.927177,6,3
58,산수2동주민센터 소규모주차장,광주광역시 동구 필문대로187번길 27,35.1548126,126.9356181,6,3
59,산수1동(산수시장),광주광역시 동구 필문대로192번길 28-1,35.1534007,126.928316,6,3
60,산수동 놀이터 앞,광주광역시 동구 필문대로205번길 12-1,35.151972,126.9324021,6,3
61,산수동 동구 국민체육센터,광주광역시 동구 필문대로205번길 17,35.1524682,126.9329608,6,3
62,동구체육센터 부근,광주광역시 동구 필문대로205번길 9,35.152245,126.9320814,6,3
63,금호장례식장 부근,광주광역시 동구 학동 901-73,35.132132,126.926938,6,3
64,삼성전자대리점 뒤,광주광역시 동구 학동길 12,35.1339233,126.9271679,6,3
65,지원2동(진아하이빌 앞),광주광역시 동구 학소로 37,35.1233604,126.9346867,6,3
66,지원1동(옛 지원중 앞),광주광역시 동구 학소로62번길 7,35.1266785,126.9357209,6,3
67,소태동 대주빌라 주변,광주광역시 동구 학소로86번안길 10,35.1290407,126.934864,6,3
68,홍림교 부근,광주광역시 동구 학소로86번안길 23,35.130049,126.9356431,6,3
69,용산체육공원1,광주광역시 동구 화산로 318-26,35.1173659,126.9325049,6,3
70,용산체육공원2,광주광역시 동구 화산로 318-26,35.1173659,126.9325049,6,3
71,지원2동 주민센터 옆길,광주광역시 동구 화산로 361,35.1204519,126.9328728,6,3
72,화산주차장,광주광역시 동구 화산로238번길 16,35.1155248,126.921561,6,3
73,용강공영주차장,광주광역시 동구 화산로337번길 1,35.1193347,126.9308929,6,3
74,동산타워 앞,광주광역시 동구 화산로350번길 18,35.1182557,126.9324176,6,3
75,우체국보험광주회관 주차장(국민건강보험공단 광주서부지사),광주광역시 서구 상무중앙로 110,35.1565726,126.8490125,6,3
76,한국토지주택공사 광주전남지역본부 주차장,광주광역시 서구 시청로 91,35.1565963,126.8509295,6,3
77,대동고등학교주차장,광주광역시 서구 전평길 50,35.1194811,126.8497001,6,3
78,상무1동원룸촌 주차장,광주광역시 서구 상무오월로 21,35.1556465,126.861657,6,3
79,양동주민센터 주차장 ,광주광역시 서구 천변좌로 222번길 3-2,35.1548234,126.9009853,6,3
80,상무 시민구역 주차장(B구역),광주광역시 서구 상무공원로 101 ,35.1535762,126.8409474,6,3
81,5.18 교육관 주차장,광주광역시 서구 상무누리로 78,35.1498036,126.8398793,6,3
82,영산강자전거길 안내센터 주차장,광주광역시 서구 서창둑길 377,35.1216345,126.8243761,6,3
83,금호2동 행정복지센터 주차장,광주광역시 서구 풍금로 135,35.128865,126.8571913,6,3
84,상무2동 행정복지센터 주차장,광주광역시 서구 화정로85번길 17,35.1465687,126.8664661,6,3
85,화정4동 행정복지센터 주차장 ,광주광역시 서구 염화로83번길 3,35.1418003,126.8737945,6,3
86,상록도서관 주차장,광주광역시 서구 상무대로1171번길 11,35.1551321,126.8889752,6,3
87,서구노인종합복지관 주차장,광주광역시 서구 군분2로 55,35.157927,126.8805144,6,3
